codigo_original,codigo_normalizado,sigla,numero,pais,categoria
KOR 11,KOR11,KOR,11,Coréia do Sul ,Seleção
KOR 12,KOR12,KOR,12,Coréia do Sul ,Seleção
KOR 13,KOR13,KOR,13,Coréia do Sul ,Seleção
KOR 14,KOR14,KOR,14,Coréia do Sul ,Seleção
KOR 15,KOR15,KOR,15,Coréia do Sul ,Seleção
KOR 16,KOR16,KOR,16,Coréia do Sul ,Seleção
KOR 17,KOR17,KOR,17,Coréia do Sul ,Seleção
KOR 18,KOR18,KOR,18,Coréia do Sul ,Seleção
KOR 19,KOR19,KOR,19,Coréia do Sul ,Seleção
KOR 20,KOR20,KOR,20,Coréia do Sul ,Seleção
CZE 01,CZE01,CZE,01,Rep. Tcheca ,Seleção
CZE 02,CZE02,CZE,02,Rep. Tcheca ,Seleção
CZE 03,CZE03,CZE,03,Rep. Tcheca ,Seleção
CZE 04,CZE04,CZE,04,Rep. Tcheca ,Seleção
CZE 05,CZE05,CZE,05,Rep. Tcheca ,Seleção
CZE 06,CZE06,CZE,06,Rep. Tcheca ,Seleção
CZE 07,CZE07,CZE,07,Rep. Tcheca ,Seleção
CZE 08,CZE08,CZE,08,Rep. Tcheca ,Seleção
CZE 09,CZE09,CZE,09,Rep. Tcheca ,Seleção
CZE 10,CZE10,CZE,10,Rep. Tcheca ,Seleção
CZE 11,CZE11,CZE,11,Rep. Tcheca ,Seleção
CZE 12,CZE12,CZE,12,Rep. Tcheca ,Seleção
CZE 13,CZE13,CZE,13,Rep. Tcheca ,Seleção
CZE 14,CZE14,CZE,14,Rep. Tcheca ,Seleção
CZE 15,CZE15,CZE,15,Rep. Tcheca ,Seleção
CZE 16,CZE16,CZE,16,Rep. Tcheca ,Seleção
CZE 17,CZE17,CZE,17,Rep. Tcheca ,Seleção
CZE 18,CZE18,CZE,18,Rep. Tcheca ,Seleção
CZE 19,CZE19,CZE,19,Rep. Tcheca ,Seleção
CZE 20,CZE20,CZE,20,Rep. Tcheca ,Seleção
CAN 01,CAN01,CAN,01,Canadá ,Seleção
CAN 02,CAN02,CAN,02,Canadá ,Seleção
CAN 03,CAN03,CAN,03,Canadá ,Seleção
CAN 04,CAN04,CAN,04,Canadá ,Seleção
CAN 05,CAN05,CAN,05,Canadá ,Seleção
CAN 06,CAN06,CAN,06,Canadá ,Seleção
CAN 07,CAN07,CAN,07,Canadá ,Seleção
CAN 08,CAN08,CAN,08,Canadá ,Seleção
CAN 09,CAN09,CAN,09,Canadá ,Seleção
CAN 10,CAN10,CAN,10,Canadá ,Seleção
CAN 11,CAN11,CAN,11,Canadá ,Seleção
CAN 12,CAN12,CAN,12,Canadá ,Seleção
CAN 13,CAN13,CAN,13,Canadá ,Seleção
CAN 14,CAN14,CAN,14,Canadá ,Seleção
CAN 15,CAN15,CAN,15,Canadá ,Seleção
CAN 16,CAN16,CAN,16,Canadá ,Seleção
CAN 17,CAN17,CAN,17,Canadá ,Seleção
CAN 18,CAN18,CAN,18,Canadá ,Seleção
CAN 19,CAN19,CAN,19,Canadá ,Seleção
CAN 20,CAN20,CAN,20,Canadá ,Seleção
BIH 01,BIH01,BIH,01,Bósnia ,Seleção
BIH 02,BIH02,BIH,02,Bósnia ,Seleção
BIH 03,BIH03,BIH,03,Bósnia ,Seleção
BIH 04,BIH04,BIH,04,Bósnia ,Seleção
BIH 05,BIH05,BIH,05,Bósnia ,Seleção
BIH 06,BIH06,BIH,06,Bósnia ,Seleção
BIH 07,BIH07,BIH,07,Bósnia ,Seleção
BIH 08,BIH08,BIH,08,Bósnia ,Seleção
BIH 09,BIH09,BIH,09,Bósnia ,Seleção
BIH 10,BIH10,BIH,10,Bósnia ,Seleção
BIH 11,BIH11,BIH,11,Bósnia ,Seleção
BIH 12,BIH12,BIH,12,Bósnia ,Seleção
BIH 13,BIH13,BIH,13,Bósnia ,Seleção
BIH 14,BIH14,BIH,14,Bósnia ,Seleção
BIH 15,BIH15,BIH,15,Bósnia ,Seleção
BIH 16,BIH16,BIH,16,Bósnia ,Seleção
BIH 17,BIH17,BIH,17,Bósnia ,Seleção
BIH 18,BIH18,BIH,18,Bósnia ,Seleção
BIH 19,BIH19,BIH,19,Bósnia ,Seleção
BIH 20,BIH20,BIH,20,Bósnia ,Seleção
QAT 01,QAT01,QAT,01,Catar ,Seleção
QAT 02,QAT02,QAT,02,Catar ,Seleção
QAT 03,QAT03,QAT,03,Catar ,Seleção
QAT 04,QAT04,QAT,04,Catar ,Seleção
QAT 05,QAT05,QAT,05,Catar ,Seleção
QAT 06,QAT06,QAT,06,Catar ,Seleção
QAT 07,QAT07,QAT,07,Catar ,Seleção
QAT 08,QAT08,QAT,08,Catar ,Seleção
QAT 09,QAT09,QAT,09,Catar ,Seleção
QAT 10,QAT10,QAT,10,Catar ,Seleção
QAT 11,QAT11,QAT,11,Catar ,Seleção
QAT 12,QAT12,QAT,12,Catar ,Seleção
QAT 13,QAT13,QAT,13,Catar ,Seleção
QAT 14,QAT14,QAT,14,Catar ,Seleção
QAT 15,QAT15,QAT,15,Catar ,Seleção
QAT 16,QAT16,QAT,16,Catar ,Seleção
QAT 17,QAT17,QAT,17,Catar ,Seleção
QAT 18,QAT18,QAT,18,Catar ,Seleção
QAT 19,QAT19,QAT,19,Catar ,Seleção
QAT 20,QAT20,QAT,20,Catar ,Seleção
SUI 01,SUI01,SUI,01,Suíça ,Seleção
SUI 02,SUI02,SUI,02,Suíça ,Seleção
SUI 03,SUI03,SUI,03,Suíça ,Seleção
SUI 04,SUI04,SUI,04,Suíça ,Seleção
SUI 05,SUI05,SUI,05,Suíça ,Seleção
SUI 06,SUI06,SUI,06,Suíça ,Seleção
SUI 07,SUI07,SUI,07,Suíça ,Seleção
SUI 08,SUI08,SUI,08,Suíça ,Seleção
SUI 09,SUI09,SUI,09,Suíça ,Seleção
SUI 10,SUI10,SUI,10,Suíça ,Seleção
SUI 11,SUI11,SUI,11,Suíça ,Seleção
SUI 12,SUI12,SUI,12,Suíça ,Seleção
SUI 13,SUI13,SUI,13,Suíça ,Seleção
SUI 14,SUI14,SUI,14,Suíça ,Seleção
SUI 15,SUI15,SUI,15,Suíça ,Seleção
SUI 16,SUI16,SUI,16,Suíça ,Seleção
SUI 17,SUI17,SUI,17,Suíça ,Seleção
SUI 18,SUI18,SUI,18,Suíça ,Seleção
SUI 19,SUI19,SUI,19,Suíça ,Seleção
SUI 20,SUI20,SUI,20,Suíça ,Seleção
BRA 01,BRA01,BRA,01,Brasil ,Seleção
BRA 02,BRA02,BRA,02,Brasil ,Seleção
BRA 03,BRA03,BRA,03,Brasil ,Seleção
BRA 04,BRA04,BRA,04,Brasil ,Seleção
BRA 05,BRA05,BRA,05,Brasil ,Seleção
BRA 06,BRA06,BRA,06,Brasil ,Seleção
BRA 07,BRA07,BRA,07,Brasil ,Seleção
BRA 08,BRA08,BRA,08,Brasil ,Seleção
BRA 09,BRA09,BRA,09,Brasil ,Seleção
BRA 10,BRA10,BRA,10,Brasil ,Seleção
BRA 11,BRA11,BRA,11,Brasil ,Seleção
BRA 12,BRA12,BRA,12,Brasil ,Seleção
BRA 13,BRA13,BRA,13,Brasil ,Seleção
BRA 14,BRA14,BRA,14,Brasil ,Seleção
BRA 15,BRA15,BRA,15,Brasil ,Seleção
BRA 16,BRA16,BRA,16,Brasil ,Seleção
BRA 17,BRA17,BRA,17,Brasil ,Seleção
BRA 18,BRA18,BRA,18,Brasil ,Seleção
BRA 19,BRA19,BRA,19,Brasil ,Seleção
BRA 20,BRA20,BRA,20,Brasil ,Seleção
MAR 01,MAR01,MAR,01,Marrocos ,Seleção
MAR 02,MAR02,MAR,02,Marrocos ,Seleção
MAR 03,MAR03,MAR,03,Marrocos ,Seleção
MAR 04,MAR04,MAR,04,Marrocos ,Seleção
MAR 05,MAR05,MAR,05,Marrocos ,Seleção
MAR 06,MAR06,MAR,06,Marrocos ,Seleção
MAR 07,MAR07,MAR,07,Marrocos ,Seleção
MAR 08,MAR08,MAR,08,Marrocos ,Seleção
MAR 09,MAR09,MAR,09,Marrocos ,Seleção
MAR 10,MAR10,MAR,10,Marrocos ,Seleção
MAR 11,MAR11,MAR,11,Marrocos ,Seleção
MAR 12,MAR12,MAR,12,Marrocos ,Seleção
MAR 13,MAR13,MAR,13,Marrocos ,Seleção
MAR 14,MAR14,MAR,14,Marrocos ,Seleção
MAR 15,MAR15,MAR,15,Marrocos ,Seleção
MAR 16,MAR16,MAR,16,Marrocos ,Seleção
MAR 17,MAR17,MAR,17,Marrocos ,Seleção
MAR 18,MAR18,MAR,18,Marrocos ,Seleção
MAR 19,MAR19,MAR,19,Marrocos ,Seleção
MAR 20,MAR20,MAR,20,Marrocos ,Seleção
HAI 01,HAI01,HAI,01,Haiti ,Seleção
HAI 02,HAI02,HAI,02,Haiti ,Seleção
HAI 03,HAI03,HAI,03,Haiti ,Seleção
HAI 04,HAI04,HAI,04,Haiti ,Seleção
HAI 05,HAI05,HAI,05,Haiti ,Seleção
HAI 06,HAI06,HAI,06,Haiti ,Seleção
HAI 07,HAI07,HAI,07,Haiti ,Seleção
HAI 08,HAI08,HAI,08,Haiti ,Seleção
HAI 09,HAI09,HAI,09,Haiti ,Seleção
HAI 10,HAI10,HAI,10,Haiti ,Seleção
HAI 11,HAI11,HAI,11,Haiti ,Seleção
HAI 12,HAI12,HAI,12,Haiti ,Seleção
HAI 13,HAI13,HAI,13,Haiti ,Seleção
HAI 14,HAI14,HAI,14,Haiti ,Seleção
HAI 15,HAI15,HAI,15,Haiti ,Seleção
HAI 16,HAI16,HAI,16,Haiti ,Seleção
HAI 17,HAI17,HAI,17,Haiti ,Seleção
HAI 18,HAI18,HAI,18,Haiti ,Seleção
HAI 19,HAI19,HAI,19,Haiti ,Seleção
HAI 20,HAI20,HAI,20,Haiti ,Seleção
SCO 01,SCO01,SCO,01,Escócia ,Seleção
SCO 02,SCO02,SCO,02,Escócia ,Seleção
SCO 03,SCO03,SCO,03,Escócia ,Seleção
SCO 04,SCO04,SCO,04,Escócia ,Seleção
SCO 05,SCO05,SCO,05,Escócia ,Seleção
SCO 06,SCO06,SCO,06,Escócia ,Seleção
SCO 07,SCO07,SCO,07,Escócia ,Seleção
SCO 08,SCO08,SCO,08,Escócia ,Seleção
SCO 09,SCO09,SCO,09,Escócia ,Seleção
SCO 10,SCO10,SCO,10,Escócia ,Seleção
SCO 11,SCO11,SCO,11,Escócia ,Seleção
SCO 12,SCO12,SCO,12,Escócia ,Seleção
SCO 13,SCO13,SCO,13,Escócia ,Seleção
SCO 14,SCO14,SCO,14,Escócia ,Seleção
SCO 15,SCO15,SCO,15,Escócia ,Seleção
SCO 16,SCO16,SCO,16,Escócia ,Seleção
SCO 17,SCO17,SCO,17,Escócia ,Seleção
SCO 18,SCO18,SCO,18,Escócia ,Seleção
SCO 19,SCO19,SCO,19,Escócia ,Seleção
SCO 20,SCO20,SCO,20,Escócia ,Seleção
USA 01,USA01,USA,01,Estados Unidos ,Seleção
USA 02,USA02,USA,02,Estados Unidos ,Seleção
USA 03,USA03,USA,03,Estados Unidos ,Seleção
USA 04,USA04,USA,04,Estados Unidos ,Seleção
USA 05,USA05,USA,05,Estados Unidos ,Seleção
USA 06,USA06,USA,06,Estados Unidos ,Seleção
USA 07,USA07,USA,07,Estados Unidos ,Seleção
USA 08,USA08,USA,08,Estados Unidos ,Seleção
USA 09,USA09,USA,09,Estados Unidos ,Seleção
USA 10,USA10,USA,10,Estados Unidos ,Seleção
USA 11,USA11,USA,11,Estados Unidos ,Seleção
USA 12,USA12,USA,12,Estados Unidos ,Seleção
USA 13,USA13,USA,13,Estados Unidos ,Seleção
USA 14,USA14,USA,14,Estados Unidos ,Seleção
USA 15,USA15,USA,15,Estados Unidos ,Seleção
USA 16,USA16,USA,16,Estados Unidos ,Seleção
USA 17,USA17,USA,17,Estados Unidos ,Seleção
USA 18,USA18,USA,18,Estados Unidos ,Seleção
USA 19,USA19,USA,19,Estados Unidos ,Seleção
USA 20,USA20,USA,20,Estados Unidos ,Seleção
PAR 01,PAR01,PAR,01,Paraguai ,Seleção
PAR 02,PAR02,PAR,02,Paraguai ,Seleção
PAR 03,PAR03,PAR,03,Paraguai ,Seleção
PAR 04,PAR04,PAR,04,Paraguai ,Seleção
PAR 05,PAR05,PAR,05,Paraguai ,Seleção
PAR 06,PAR06,PAR,06,Paraguai ,Seleção
PAR 07,PAR07,PAR,07,Paraguai ,Seleção
PAR 08,PAR08,PAR,08,Paraguai ,Seleção
PAR 09,PAR09,PAR,09,Paraguai ,Seleção
PAR 10,PAR10,PAR,10,Paraguai ,Seleção
PAR 11,PAR11,PAR,11,Paraguai ,Seleção
PAR 12,PAR12,PAR,12,Paraguai ,Seleção
PAR 13,PAR13,PAR,13,Paraguai ,Seleção
PAR 14,PAR14,PAR,14,Paraguai ,Seleção
PAR 15,PAR15,PAR,15,Paraguai ,Seleção
PAR 16,PAR16,PAR,16,Paraguai ,Seleção
PAR 17,PAR17,PAR,17,Paraguai ,Seleção
PAR 18,PAR18,PAR,18,Paraguai ,Seleção
PAR 19,PAR19,PAR,19,Paraguai ,Seleção
PAR 20,PAR20,PAR,20,Paraguai ,Seleção
AUS 01,AUS01,AUS,01,Austrália ,Seleção
AUS 02,AUS02,AUS,02,Austrália ,Seleção
AUS 03,AUS03,AUS,03,Austrália ,Seleção
AUS 04,AUS04,AUS,04,Austrália ,Seleção
AUS 05,AUS05,AUS,05,Austrália ,Seleção
AUS 06,AUS06,AUS,06,Austrália ,Seleção
AUS 07,AUS07,AUS,07,Austrália ,Seleção
AUS 08,AUS08,AUS,08,Austrália ,Seleção
AUS 09,AUS09,AUS,09,Austrália ,Seleção
AUS 10,AUS10,AUS,10,Austrália ,Seleção
AUS 11,AUS11,AUS,11,Austrália ,Seleção
AUS 12,AUS12,AUS,12,Austrália ,Seleção
AUS 13,AUS13,AUS,13,Austrália ,Seleção
AUS 14,AUS14,AUS,14,Austrália ,Seleção
AUS 15,AUS15,AUS,15,Austrália ,Seleção
AUS 16,AUS16,AUS,16,Austrália ,Seleção
AUS 17,AUS17,AUS,17,Austrália ,Seleção
AUS 18,AUS18,AUS,18,Austrália ,Seleção
AUS 19,AUS19,AUS,19,Austrália ,Seleção
AUS 20,AUS20,AUS,20,Austrália ,Seleção
TUR 01,TUR01,TUR,01,Turquia ,Seleção
TUR 02,TUR02,TUR,02,Turquia ,Seleção
TUR 03,TUR03,TUR,03,Turquia ,Seleção
TUR 04,TUR04,TUR,04,Turquia ,Seleção
TUR 05,TUR05,TUR,05,Turquia ,Seleção
TUR 06,TUR06,TUR,06,Turquia ,Seleção
TUR 07,TUR07,TUR,07,Turquia ,Seleção
TUR 08,TUR08,TUR,08,Turquia ,Seleção
TUR 09,TUR09,TUR,09,Turquia ,Seleção
TUR 10,TUR10,TUR,10,Turquia ,Seleção
TUR 11,TUR11,TUR,11,Turquia ,Seleção
TUR 12,TUR12,TUR,12,Turquia ,Seleção
TUR 13,TUR13,TUR,13,Turquia ,Seleção
TUR 14,TUR14,TUR,14,Turquia ,Seleção
TUR 15,TUR15,TUR,15,Turquia ,Seleção
TUR 16,TUR16,TUR,16,Turquia ,Seleção
TUR 17,TUR17,TUR,17,Turquia ,Seleção
TUR 18,TUR18,TUR,18,Turquia ,Seleção
TUR 19,TUR19,TUR,19,Turquia ,Seleção
TUR 20,TUR20,TUR,20,Turquia ,Seleção
GER 01,GER01,GER,01,Alemanha ,Seleção
GER 02,GER02,GER,02,Alemanha ,Seleção
GER 03,GER03,GER,03,Alemanha ,Seleção
GER 04,GER04,GER,04,Alemanha ,Seleção
GER 05,GER05,GER,05,Alemanha ,Seleção
GER 06,GER06,GER,06,Alemanha ,Seleção
GER 07,GER07,GER,07,Alemanha ,Seleção
GER 08,GER08,GER,08,Alemanha ,Seleção
GER 09,GER09,GER,09,Alemanha ,Seleção
GER 10,GER10,GER,10,Alemanha ,Seleção
GER 11,GER11,GER,11,Alemanha ,Seleção
GER 12,GER12,GER,12,Alemanha ,Seleção
GER 13,GER13,GER,13,Alemanha ,Seleção
GER 14,GER14,GER,14,Alemanha ,Seleção
GER 15,GER15,GER,15,Alemanha ,Seleção
GER 16,GER16,GER,16,Alemanha ,Seleção
GER 17,GER17,GER,17,Alemanha ,Seleção
GER 18,GER18,GER,18,Alemanha ,Seleção
GER 19,GER19,GER,19,Alemanha ,Seleção
GER 20,GER20,GER,20,Alemanha ,Seleção
CUW 01,CUW01,CUW,01,Curaçao ,Seleção
CUW 02,CUW02,CUW,02,Curaçao ,Seleção
CUW 03,CUW03,CUW,03,Curaçao ,Seleção
CUW 04,CUW04,CUW,04,Curaçao ,Seleção
CUW 05,CUW05,CUW,05,Curaçao ,Seleção
CUW 06,CUW06,CUW,06,Curaçao ,Seleção
CUW 07,CUW07,CUW,07,Curaçao ,Seleção
CUW 08,CUW08,CUW,08,Curaçao ,Seleção
CUW 09,CUW09,CUW,09,Curaçao ,Seleção
CUW 10,CUW10,CUW,10,Curaçao ,Seleção
CUW 11,CUW11,CUW,11,Curaçao ,Seleção
CUW 12,CUW12,CUW,12,Curaçao ,Seleção
CUW 13,CUW13,CUW,13,Curaçao ,Seleção
CUW 14,CUW14,CUW,14,Curaçao ,Seleção
CUW 15,CUW15,CUW,15,Curaçao ,Seleção
CUW 16,CUW16,CUW,16,Curaçao ,Seleção
CUW 17,CUW17,CUW,17,Curaçao ,Seleção
CUW 18,CUW18,CUW,18,Curaçao ,Seleção
CUW 19,CUW19,CUW,19,Curaçao ,Seleção
CUW 20,CUW20,CUW,20,Curaçao ,Seleção
CIV 01,CIV01,CIV,01,Costa do Marfim ,Seleção
CIV 02,CIV02,CIV,02,Costa do Marfim ,Seleção
CIV 03,CIV03,CIV,03,Costa do Marfim ,Seleção
CIV 04,CIV04,CIV,04,Costa do Marfim ,Seleção
CIV 05,CIV05,CIV,05,Costa do Marfim ,Seleção
CIV 06,CIV06,CIV,06,Costa do Marfim ,Seleção
CIV 07,CIV07,CIV,07,Costa do Marfim ,Seleção
CIV 08,CIV08,CIV,08,Costa do Marfim ,Seleção
CIV 09,CIV09,CIV,09,Costa do Marfim ,Seleção
CIV 10,CIV10,CIV,10,Costa do Marfim ,Seleção
CIV 11,CIV11,CIV,11,Costa do Marfim ,Seleção
CIV 12,CIV12,CIV,12,Costa do Marfim ,Seleção
CIV 13,CIV13,CIV,13,Costa do Marfim ,Seleção
CIV 14,CIV14,CIV,14,Costa do Marfim ,Seleção
CIV 15,CIV15,CIV,15,Costa do Marfim ,Seleção
CIV 16,CIV16,CIV,16,Costa do Marfim ,Seleção
CIV 17,CIV17,CIV,17,Costa do Marfim ,Seleção
CIV 18,CIV18,CIV,18,Costa do Marfim ,Seleção
CIV 19,CIV19,CIV,19,Costa do Marfim ,Seleção
CIV 20,CIV20,CIV,20,Costa do Marfim ,Seleção
ECU 01,ECU01,ECU,01,Equador ,Seleção
ECU 02,ECU02,ECU,02,Equador ,Seleção
ECU 03,ECU03,ECU,03,Equador ,Seleção
ECU 04,ECU04,ECU,04,Equador ,Seleção
ECU 05,ECU05,ECU,05,Equador ,Seleção
ECU 06,ECU06,ECU,06,Equador ,Seleção
ECU 07,ECU07,ECU,07,Equador ,Seleção
ECU 08,ECU08,ECU,08,Equador ,Seleção
ECU 09,ECU09,ECU,09,Equador ,Seleção
ECU 10,ECU10,ECU,10,Equador ,Seleção
ECU 11,ECU11,ECU,11,Equador ,Seleção
ECU 12,ECU12,ECU,12,Equador ,Seleção
ECU 13,ECU13,ECU,13,Equador ,Seleção
ECU 14,ECU14,ECU,14,Equador ,Seleção
ECU 15,ECU15,ECU,15,Equador ,Seleção
ECU 16,ECU16,ECU,16,Equador ,Seleção
ECU 17,ECU17,ECU,17,Equador ,Seleção
ECU 18,ECU18,ECU,18,Equador ,Seleção
ECU 19,ECU19,ECU,19,Equador ,Seleção
ECU 20,ECU20,ECU,20,Equador ,Seleção
NED 01,NED01,NED,01,Holanda ,Seleção
NED 02,NED02,NED,02,Holanda ,Seleção
NED 03,NED03,NED,03,Holanda ,Seleção
NED 04,NED04,NED,04,Holanda ,Seleção
NED 05,NED05,NED,05,Holanda ,Seleção
NED 06,NED06,NED,06,Holanda ,Seleção
NED 07,NED07,NED,07,Holanda ,Seleção
NED 08,NED08,NED,08,Holanda ,Seleção
NED 09,NED09,NED,09,Holanda ,Seleção
NED 10,NED10,NED,10,Holanda ,Seleção
NED 11,NED11,NED,11,Holanda ,Seleção
NED 12,NED12,NED,12,Holanda ,Seleção
NED 13,NED13,NED,13,Holanda ,Seleção
NED 14,NED14,NED,14,Holanda ,Seleção
NED 15,NED15,NED,15,Holanda ,Seleção
NED 16,NED16,NED,16,Holanda ,Seleção
NED 17,NED17,NED,17,Holanda ,Seleção
NED 18,NED18,NED,18,Holanda ,Seleção
NED 19,NED19,NED,19,Holanda ,Seleção
NED 20,NED20,NED,20,Holanda ,Seleção
JPN 01,JPN01,JPN,01,Japão ,Seleção
JPN 02,JPN02,JPN,02,Japão ,Seleção
JPN 03,JPN03,JPN,03,Japão ,Seleção
JPN 04,JPN04,JPN,04,Japão ,Seleção
JPN 05,JPN05,JPN,05,Japão ,Seleção
JPN 06,JPN06,JPN,06,Japão ,Seleção
JPN 07,JPN07,JPN,07,Japão ,Seleção
JPN 08,JPN08,JPN,08,Japão ,Seleção
JPN 09,JPN09,JPN,09,Japão ,Seleção
JPN 10,JPN10,JPN,10,Japão ,Seleção
JPN 11,JPN11,JPN,11,Japão ,Seleção
JPN 12,JPN12,JPN,12,Japão ,Seleção
JPN 13,JPN13,JPN,13,Japão ,Seleção
JPN 14,JPN14,JPN,14,Japão ,Seleção
JPN 15,JPN15,JPN,15,Japão ,Seleção
JPN 16,JPN16,JPN,16,Japão ,Seleção
JPN 17,JPN17,JPN,17,Japão ,Seleção
JPN 18,JPN18,JPN,18,Japão ,Seleção
JPN 19,JPN19,JPN,19,Japão ,Seleção
JPN 20,JPN20,JPN,20,Japão ,Seleção
SWE 01,SWE01,SWE,01,Suécia ,Seleção
SWE 02,SWE02,SWE,02,Suécia ,Seleção
SWE 03,SWE03,SWE,03,Suécia ,Seleção
SWE 04,SWE04,SWE,04,Suécia ,Seleção
SWE 05,SWE05,SWE,05,Suécia ,Seleção
SWE 06,SWE06,SWE,06,Suécia ,Seleção
SWE 07,SWE07,SWE,07,Suécia ,Seleção
SWE 08,SWE08,SWE,08,Suécia ,Seleção
SWE 09,SWE09,SWE,09,Suécia ,Seleção
SWE 10,SWE10,SWE,10,Suécia ,Seleção
SWE 11,SWE11,SWE,11,Suécia ,Seleção
SWE 12,SWE12,SWE,12,Suécia ,Seleção
SWE 13,SWE13,SWE,13,Suécia ,Seleção
SWE 14,SWE14,SWE,14,Suécia ,Seleção
SWE 15,SWE15,SWE,15,Suécia ,Seleção
SWE 16,SWE16,SWE,16,Suécia ,Seleção
SWE 17,SWE17,SWE,17,Suécia ,Seleção
SWE 18,SWE18,SWE,18,Suécia ,Seleção
SWE 19,SWE19,SWE,19,Suécia ,Seleção
SWE 20,SWE20,SWE,20,Suécia ,Seleção
TUN 01,TUN01,TUN,01,Tunísia ,Seleção
TUN 02,TUN02,TUN,02,Tunísia ,Seleção
TUN 03,TUN03,TUN,03,Tunísia ,Seleção
TUN 04,TUN04,TUN,04,Tunísia ,Seleção
TUN 05,TUN05,TUN,05,Tunísia ,Seleção
TUN 06,TUN06,TUN,06,Tunísia ,Seleção
TUN 07,TUN07,TUN,07,Tunísia ,Seleção
TUN 08,TUN08,TUN,08,Tunísia ,Seleção
TUN 09,TUN09,TUN,09,Tunísia ,Seleção
TUN 10,TUN10,TUN,10,Tunísia ,Seleção
TUN 11,TUN11,TUN,11,Tunísia ,Seleção
TUN 12,TUN12,TUN,12,Tunísia ,Seleção
TUN 13,TUN13,TUN,13,Tunísia ,Seleção
TUN 14,TUN14,TUN,14,Tunísia ,Seleção
TUN 15,TUN15,TUN,15,Tunísia ,Seleção
TUN 16,TUN16,TUN,16,Tunísia ,Seleção
TUN 17,TUN17,TUN,17,Tunísia ,Seleção
TUN 18,TUN18,TUN,18,Tunísia ,Seleção
TUN 19,TUN19,TUN,19,Tunísia ,Seleção
TUN 20,TUN20,TUN,20,Tunísia ,Seleção
BEL 01,BEL01,BEL,01,Bélgica ,Seleção
BEL 02,BEL02,BEL,02,Bélgica ,Seleção
BEL 03,BEL03,BEL,03,Bélgica ,Seleção
BEL 04,BEL04,BEL,04,Bélgica ,Seleção
BEL 05,BEL05,BEL,05,Bélgica ,Seleção
BEL 06,BEL06,BEL,06,Bélgica ,Seleção
BEL 07,BEL07,BEL,07,Bélgica ,Seleção
BEL 08,BEL08,BEL,08,Bélgica ,Seleção
BEL 09,BEL09,BEL,09,Bélgica ,Seleção
BEL 10,BEL10,BEL,10,Bélgica ,Seleção
BEL 11,BEL11,BEL,11,Bélgica ,Seleção
